Ligand	Receptor	interaction.type	sourcedb	host.organism
NDRG1	HSP90AA1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
DCUN1D1	HSP90AA1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
GRK5	HSP90AA1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
STAT2	IFNB1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TEAD3	CTGF	psi-mi:MI:0914(association)	MI:0467(reactome)	-
TGFB3	CTGF	-	MI:0468(hprd)	-
TGFB1	CTGF	-	MI:0468(hprd)	-
FAS	FASLG	MI:0403(colocalization)	MI:0463(biogrid)	taxid:32644(unidentified)
FGFR2	FGF5	MI:0403(colocalization)	MI:0463(biogrid)	taxid:32644(unidentified)
FGFR2	FGF5	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
VDAC3	LYPD3	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
SCAMP1	LYPD3	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
DPY19L1	LYPD3	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CLASP2	LYPD3	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CLCN7	LYPD3	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CHEK2	LYPD3	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
ERBB2	LYPD3	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
TMPRSS11B	C6orf120	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
PRDX1	MTRNR2L1	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
RELB	CCL19	psi-mi:MI:0915(physical association)	MI:0974(innatedb)	-
FGFR2	FGF5	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
PYY	CCL19	psi-mi:MI:0914(association)	MI:0467(reactome)	-
TAS2R1	CCL19	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
ARHGEF1	CCL19	psi-mi:MI:0914(association)	MI:0467(reactome)	-
GUK1	NLGN3	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
DPEP2	NLGN3	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
PIK3R1	NLGN3	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
LPA	APOH	-	MI:0000(bind_translation)	-
CXCL5	MMP9	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
SIK2	PROZ	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
EFEMP1	APOD	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
AREG	MMP9	-	MI:0468(hprd)	-
BTC	MMP9	-	MI:0468(hprd)	-
MEP1B	MMP9	psi-mi:MI:0194(cleavage reaction)	MI:0917(matrixdb)	-
FGF18	FGFR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
FGF8	FGFR3	MI:0407(direct interaction)	MI:0465(dip)	-
GLO1	PNP	MI:0403(colocalization)	MI:0463(biogrid)	taxid:32644(unidentified)
CEP250	ADAMTS1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CER1	ADAMTS1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
THBS2	THBS2	MI:0407(direct interaction)	MI:0000(intcomplex)	taxid:9606(Homo sapiens)
ERRFI1	SFN	-	MI:0000(bind_translation)	-
ERRFI1	SFN	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
KIF23	SFN	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
AKT2	SFN	psi-mi:MI:0914(association)	MI:0467(reactome)	-
RAB13	SFN	psi-mi:MI:0914(association)	MI:0467(reactome)	-
CCDC102B	SFN	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
FAM9B	SFN	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
AGTR2	CCL19	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
DRD2	CCL19	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GPR18	CCL19	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
APLN	CCL19	psi-mi:MI:0914(association)	MI:0467(reactome)	-
CCR10	CCL19	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PMCH	CCL19	psi-mi:MI:0914(association)	MI:0467(reactome)	-
CCR4	CCL19	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PPBP	CCL19	psi-mi:MI:0914(association)	MI:0467(reactome)	-
ARHGEF12	CCL19	psi-mi:MI:0914(association)	MI:0467(reactome)	-
RXFP4	CCL19	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
DGCR6	MIA2	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
PTPN11	IFNA7	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
IL1R2	IL1RN	-	MI:0468(hprd)	-
CYP2S1	CXADR	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
BMI1	P4HB	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
ARAF	P4HB	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
HSPD1	P4HB	MI:0403(colocalization)	MI:0463(biogrid)	taxid:32644(unidentified)
ARF4	PTEN	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
RPL13A	PTEN	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
ACVR2A	GDF9	-	MI:0468(hprd)	-
CHGB	PTEN	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
MAST1	PTEN	-	MI:0468(hprd)	-
COPS6	PTEN	-	MI:0468(hprd)	-
DBN1	PTEN	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
VEGFA	VEGFA	-	MI:0000(bind_translation)	-
COPS6	PTEN	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
MSANTD3-TMEFF1	PTEN	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
TRMO	PTEN	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
CDC27	PTEN	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
PIK3CB	PTEN	psi-mi:MI:0914(association)	MI:0467(reactome)	-
PIK3R2	PTEN	psi-mi:MI:0914(association)	MI:0467(reactome)	-
PLCH2	PTEN	psi-mi:MI:0914(association)	MI:0467(reactome)	-
COPS6	PTEN	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
KIF22	GDF9	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
TUBA4A	GDF9	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
TRIM32	SFN	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
TMEM189-UBE2V1	SFN	MI:0403(colocalization)	MI:0463(biogrid)	taxid:32644(unidentified)
EGFR	SFN	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
ARAF	SFN	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
RBM39	SFN	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
RPS6	SFN	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
LRRC59	SFN	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
RPS3	SFN	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
SIPA1L1	SFN	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CDC73	SFN	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
SMTNL2	SFN	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
KIAA0408	SFN	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
EXO1	SFN	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
CDKN1B	SFN	psi-mi:MI:0915(physical association)	MI:0974(innatedb)	-
MAGI1	SFN	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
SAMD4A	SFN	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
MPRIP	SFN	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
CGN	SFN	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
TNK1	SFN	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
PPP3CC	SFN	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
MYOC	FN1	-	MI:0468(hprd)	-
PDLIM2	FGFR2	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
FGF8	FGFR2	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
TGM2	FN1	-	MI:0468(hprd)	-
AMBP	FN1	-	MI:0468(hprd)	-
FGF8	FGFR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
MAG	FN1	-	MI:0468(hprd)	-
SCGB1A1	FN1	-	MI:0468(hprd)	-
VEGFA	VEGFA	-	MI:0462(bind)	-
KISS1	PROK2	psi-mi:MI:0914(association)	MI:0467(reactome)	-
AGTR2	PROK2	psi-mi:MI:0914(association)	MI:0467(reactome)	-
P2RY2	PROK2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GRM2	PROK2	psi-mi:MI:0914(association)	MI:0467(reactome)	-
BDKRB1	PROK2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
LPAR6	PROK2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PIK3CA	PROK2	psi-mi:MI:0914(association)	MI:0467(reactome)	-
CCKAR	PROK2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GNB1	PROK2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
SERPINH1	COL27A1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
ATP6AP2	REN	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
DLG1	ADAM17	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
PGF	VEGFA	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
MAGEB18	MIA2	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
AES	MIA2	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
CYSLTR2	GHRL	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PLCB1	GHRL	psi-mi:MI:0914(association)	MI:0467(reactome)	-
BDKRB1	GHRL	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
AVPR1B	GHRL	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
SPCS3	GHRL	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
HRAS	FGF7	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TP53	PTEN	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
CDH1	PTEN	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
TUBB4B	PTEN	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
HSP90AB1	PTEN	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
MYL12A	PTEN	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
MAGI2	PTEN	-	MI:0468(hprd)	-
UTP14A	PTEN	-	MI:0468(hprd)	-
ADAM10	DLL1	-	MI:0468(hprd)	-
MAGI2	PTEN	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
AGO1	PTEN	psi-mi:MI:0914(association)	MI:0467(reactome)	-
INPP5B	PTEN	psi-mi:MI:0914(association)	MI:0467(reactome)	-
PIK3C2B	PTEN	psi-mi:MI:0914(association)	MI:0467(reactome)	-
KCNJ15	GABBR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PIK3R5	PROK2	psi-mi:MI:0914(association)	MI:0467(reactome)	-
FGFR3	FGF4	MI:0915(physical association)	MI:0465(dip)	-
GPD2	ALDOA	-	MI:0468(hprd)	-
FBLN2	FBLN2	-	MI:0468(hprd)	-
LAMC2	FBLN2	-	MI:0468(hprd)	-
LAMA5	FBLN2	-	MI:0468(hprd)	-
CCDC8	CXADR	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
ISG15	ALDOA	psi-mi:MI:0915(physical association)	MI:0974(innatedb)	-
ISG15	LGMN	psi-mi:MI:0915(physical association)	MI:0974(innatedb)	-
BCAT2	ALDOA	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
NUDT21	F13A1	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
EGFR	ALDOA	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
ISG15	ALDOA	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
MLH1	ALDOA	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
FGF3	FGF4	psi-mi:MI:0914(association)	MI:0467(reactome)	-
TBXA2R	GHRL	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
LMAN2L	ADAM17	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CXCL12	FN1	-	MI:0468(hprd)	-
NPFF	GHRL	psi-mi:MI:0914(association)	MI:0467(reactome)	-
ADRA1B	GHRL	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
APH1B	ADAM17	psi-mi:MI:0914(association)	MI:0467(reactome)	-
TBXA2R	GHRL	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GRM2	GHRL	psi-mi:MI:0914(association)	MI:0467(reactome)	-
AGT	REN	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
APP	GHRL	psi-mi:MI:0914(association)	MI:0467(reactome)	-
KNG1	GHRL	psi-mi:MI:0914(association)	MI:0467(reactome)	-
GNA14	GHRL	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
HCRTR2	GHRL	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GPR65	GHRL	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
LRP1B	SERPINE1	-	MI:0468(hprd)	-
XCL2	GHRL	psi-mi:MI:0914(association)	MI:0467(reactome)	-
GHRHR	GHRL	-	MI:0468(hprd)	-
EMILIN1	MIA2	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
CEP57	MIA2	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
EMILIN1	MIA2	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
NOTCH2	DLL1	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
APH1B	DLL1	psi-mi:MI:0914(association)	MI:0467(reactome)	-
HTR1D	GABBR1	psi-mi:MI:0914(association)	MI:0467(reactome)	-
CCL25	GABBR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCR3	GABBR1	psi-mi:MI:0914(association)	MI:0467(reactome)	-
THBS1	COL3A1	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
GALNT12	MUC6	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
B3GNT4	MUC6	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
YAF2	FBRS	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
DCAF7	FBRS	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
SOWAHA	FBRS	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
APOA2	PLTP	-	MI:0468(hprd)	-
APOE	PLTP	-	MI:0468(hprd)	-
LEFTY1	LEFTY2	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
MFAP3	FBLN2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
FGF23	FGF4	psi-mi:MI:0914(association)	MI:0467(reactome)	-
PIK3CA	FGF4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
HLA-DRB5	LGMN	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
F13A1	F13A1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
IGFBP1	IGF2	-	MI:0462(bind)	-
FN1	FN1	MI:0195(covalent binding)	MI:0465(dip)	-
FN1	FN1	MI:0195(covalent binding)	MI:0469(intact)	taxid:9606(Homo sapiens)
FN1	FN1	MI:0407(direct interaction)	MI:0469(intact)	taxid:9606(Homo sapiens)
PLG	IGF2	-	MI:0468(hprd)	-
SH3D19	ADAM12	MI:0403(colocalization)	MI:0469(intact)	taxid:9606(Homo sapiens)
SH3D19	ADAM12	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
SH3D19	ADAM12	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
CLK1	PRDX5	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
APP	PRDX5	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
AP2B1	AP2M1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
GRB2	AP2M1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
LTB	LTA	-	MI:0468(hprd)	-
EGFR	AP2M1	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
KLK3	IGF2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
ISG15	GPI	psi-mi:MI:0915(physical association)	MI:0974(innatedb)	-
IRS4	IGF2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
LAIR2	EMILIN1	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
ABCA1	BMP1	psi-mi:MI:0914(association)	MI:0467(reactome)	-
MAGEC2	AP2M1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
P2RY14	SST	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
ISG15	GPI	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
CCL21	CCL27	psi-mi:MI:0914(association)	MI:0467(reactome)	-
ARHGEF1	CCL27	psi-mi:MI:0914(association)	MI:0467(reactome)	-
CCR2	CCL27	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
OPRM1	CCL27	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
ADCY2	CCL27	psi-mi:MI:0914(association)	MI:0467(reactome)	-
ATP6V1H	AP2M1	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
PPP1R12A	IL16	psi-mi:MI:0915(physical association)	MI:0974(innatedb)	-
DMRTB1	IL16	psi-mi:MI:0915(physical association)	MI:0974(innatedb)	-
TBC1D22B	AZGP1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
ADCY9	LGALS3	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
ITGAV	AZGP1	-	MI:0468(hprd)	-
CNR2	SST	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CDK4	PKM	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
PKM	PKM	psi-mi:MI:0407(direct interaction)	MI:0917(matrixdb)	-
NUF2	AZGP1	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
COX1	PRDX4	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
TUBG1	PRDX4	MI:0403(colocalization)	MI:0463(biogrid)	taxid:32644(unidentified)
ACTN1	COL17A1	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
DUSP23	PRDX4	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
SS18L1	LGALS3	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
TNFRSF1B	LTA	psi-mi:MI:0407(direct interaction)	MI:0917(matrixdb)	-
MEOX2	EFNA3	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
TTF2	PRDX4	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
MMP7	LGALS3	MI:0403(colocalization)	MI:0469(intact)	taxid:9606(Homo sapiens)
CACNG4	SPP1	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
IFT140	TULP2	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
SGTA	MSMB	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
EWSR1	TULP2	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
NDUFA9	HLA-B	MI:0403(colocalization)	MI:0463(biogrid)	taxid:32644(unidentified)
A2M	GZMA	psi-mi:MI:0915(physical association)	MI:0974(innatedb)	-
VASP	VASP	-	MI:0468(hprd)	-
ST6GAL1	ST6GAL1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
MMP2	COL6A6	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
ERMAP	VASP	-	MI:0468(hprd)	-
INSR	SORBS1	-	MI:0468(hprd)	-
CUL2	LOXL1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
FGF3	FGF20	psi-mi:MI:0914(association)	MI:0467(reactome)	-
EMILIN3	MMP10	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
FGF2	FGF20	psi-mi:MI:0914(association)	MI:0467(reactome)	-
MAPK3	FGF20	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TAPBP	HLA-B	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
SEC24A	HLA-B	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TGFB1	PZP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
XCL1	XCL1	MI:0407(direct interaction)	MI:0465(dip)	-
DFFA	GZMM	psi-mi:MI:0570(protein cleavage)	MI:0974(innatedb)	-
SERPINA1	PRSS3	-	MI:0462(bind)	-
F2R	XCL1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GPR65	XCL1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
FPR2	XCL1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
DFFA	GZMM	psi-mi:MI:0570(protein cleavage)	MI:0917(matrixdb)	-
FFAR2	XCL1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
SNTG2	ADGRB1	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
UBQLN1	SERPINI2	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
ZNF696	VWCE	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
ZNF358	VWCE	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
DNAJC17	C12orf10	MI:0403(colocalization)	MI:0463(biogrid)	taxid:32644(unidentified)
SERPINA5	ACR	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
GAB1	NRG1	psi-mi:MI:0914(association)	MI:0467(reactome)	-
LMNB1	GZMB	-	MI:0468(hprd)	-
UBE4B	GZMB	psi-mi:MI:0570(protein cleavage)	MI:0974(innatedb)	-
LAMA5	GZMB	psi-mi:MI:0570(protein cleavage)	MI:0917(matrixdb)	-
ZP4	ACR	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
IZUMO1	ACR	psi-mi:MI:0914(association)	MI:0467(reactome)	-
ZP4	ACR	psi-mi:MI:0914(association)	MI:0467(reactome)	-
UBQLN1	SERPINI2	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
ARPC3	VASP	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
COMP	ADAMTS7	psi-mi:MI:0570(protein cleavage)	MI:1332(bhf-ucl)	-
PRPF19	LGALS3	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
TNFRSF1B	LTA	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
SLC30A1	LGALS3	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
DCLRE1C	SPATA20	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
ARFIP1	QDPR	MI:0403(colocalization)	MI:0463(biogrid)	taxid:32644(unidentified)
LOC100996717	XCL2	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
LYG2	SPATA20	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CD63	LGALS3	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
LCK	CD55	-	MI:0468(hprd)	-
KNG1	KLK1	-	MI:0468(hprd)	-
SS18L1	LGALS3	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
ORM1	LGALS3	psi-mi:MI:0915(physical association)	MI:0974(innatedb)	-
APOA1	LGALS3	psi-mi:MI:0915(physical association)	MI:0974(innatedb)	-
ITGB1	LGALS3	psi-mi:MI:0915(physical association)	MI:0974(innatedb)	-
LCK	CD55	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
ITGB1	LGALS3	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
F2RL1	XCL2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TFPT	TUFT1	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
CFB	CD55	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
RPS6KA1	VASP	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
NTSR1	XCL2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GNA11	XCL2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
ARHGEF25	XCL2	psi-mi:MI:0914(association)	MI:0467(reactome)	-
LOC100996717	XCL2	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
GLUD1	VTN	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
RNF14	VTN	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
ITGB6	VTN	-	MI:0468(hprd)	-
COL4A4	VTN	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
ARPC3	VASP	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
RGS5	GNAI2	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
CXCL3	CXCL8	psi-mi:MI:0914(association)	MI:0467(reactome)	-
ANAPC4	CXCL8	psi-mi:MI:0914(association)	MI:0467(reactome)	-
OXER1	CXCL8	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CASR	CXCL8	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GABBR2	CXCL8	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
EXOSC5	CXCL8	psi-mi:MI:0914(association)	MI:0467(reactome)	-
FPR1	CXCL8	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
EXOSC7	CXCL8	psi-mi:MI:0914(association)	MI:0467(reactome)	-
SH2D4A	DBNL	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
MFAP2	FBN1	-	MI:0468(hprd)	-
SLC6A1	STX1A	-	MI:0468(hprd)	-
SLC6A2	STX1A	-	MI:0468(hprd)	-
SYT1	STX1A	-	MI:0468(hprd)	-
SLC6A9	STX1A	-	MI:0468(hprd)	-
STX8	STX1A	-	MI:0468(hprd)	-
STXBP6	STX1A	-	MI:0468(hprd)	-
GPC1	VEGFA	-	MI:0468(hprd)	-
RHOB	FBN1	psi-mi:MI:0915(physical association)	MI:0974(innatedb)	-
CNR1	GNAI2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
BDKRB2	GNAI2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
RHOB	FBN1	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
ATXN7	FBN1	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
